Label,매장명
1,가족회관
1,계절밥상 소반
3,교동짬뽕
1,놀부부대찌개
1,덕인관
1,마리짱
1,만석장
1,면채반
1,명가의뜰
1,무쇠화반
1,반주
1,밥이답이다
1,보통식탁
1,본죽
1,북창동순두부
1,비비고
1,서울
1,소담비빔국수
1,소문
1,손수김밥
1,손수반상
1,손수헌
1,순희네빈대떡
1,영동설렁탕
1,오뎅식당
1,인천별미
1,자연은맛있다
1,제일제면소
1,평화국수
1,평화옥
1,한국집
1,한옥
1,한옥집
1,한우가
0,경양식당
0,남산왕돈까스
0,라그릴리아 비스트로 바
0,모짜루나
0,버거헌터
0,빌라드샬롯
0,빕스 익스프레스
0,치맥헌터
0,골목식당
3,도쿄짬뽕
2,리틀싱카이
3,메이하오짬뽕
2,방콕9
2,사누끼보레
2,사보텐
2,스노우폭스
2,스트릿
2,싱카이
3,영빈루
0,오므토토마토
2,오사카키친
2,유타이
3,차이나팩토리
2,케르반
3,케세이호
2,포
2,포베이
2,하이면우동
3,히바린
4,버거킹
4,타코벨
4,퀴즈노스
4,롯데리아
4,모스버거
4,쉐이크쉑
4,KFC
0,공닭
